p1est	p2est	vest	yawest	yawrateest	p1meas	p2meas	p1	p2	v1_gt	v2_gt	NIS	sensor_type
13.2878	2.31085	5.1642	0.362984	0.206436	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.78134	0
13.4707	2.445	5.04599	0.399375	0.238296	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	11.3206	1
13.7199	2.56443	5.07703	0.417354	0.244693	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.905448	0
13.9406	2.67295	5.0522	0.433402	0.249741	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.279067	1
14.1696	2.82783	5.07736	0.464731	0.269969	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.896573	0
14.4189	2.93672	5.1437	0.469763	0.257783	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.33905	1
14.6242	3.01701	5.09456	0.471073	0.245676	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.0584	0
14.8562	3.16557	5.15162	0.492883	0.25377	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.93497	1
15.0646	3.35709	5.17287	0.534702	0.285008	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	1.54456	0
15.2776	3.5168	5.15294	0.56268	0.302044	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.76171	1
15.4912	3.707	5.18412	0.597742	0.323221	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.986242	0
15.7031	3.83928	5.16799	0.608728	0.318167	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.870211	1
15.9232	3.98936	5.17933	0.623232	0.316551	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.160143	0
16.1203	4.14811	5.12754	0.64765	0.330216	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.88606	1
16.3176	4.34603	5.15463	0.680284	0.347176	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.623436	0
16.5279	4.5083	5.1703	0.694372	0.343061	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.585375	1
16.7053	4.68096	5.15438	0.717448	0.34953	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.545413	0
16.8615	4.86671	5.05221	0.756607	0.382459	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.88345	1
17.0263	5.09392	5.08257	0.797153	0.404911	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.946302	0
17.1967	5.26195	5.04448	0.815879	0.406187	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.69491	1
17.3551	5.44814	5.03332	0.839304	0.409607	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.234341	0
17.5116	5.61574	4.97933	0.858545	0.412268	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	3.2141	1
17.7014	5.74792	4.94656	0.853745	0.385833	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	1.41241	0
17.8462	5.94137	4.90286	0.883748	0.402633	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.23604	1
18.0189	6.13558	4.92359	0.899935	0.398284	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.662248	0
18.1689	6.34111	4.93294	0.9239	0.402845	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.730363	1
18.2911	6.57901	4.95705	0.962311	0.421794	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.775077	0
18.4236	6.79032	4.94743	0.989259	0.430175	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.324374	1
18.5688	6.93389	4.88143	0.989177	0.408224	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	1.85701	0
18.717	7.14058	4.91577	1.0018	0.396105	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.595611	1
18.9097	7.28572	4.88639	0.986342	0.359643	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	3.84586	0
18.9997	7.48757	4.81099	1.02287	0.386781	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	4.09467	1
19.0925	7.74789	4.85564	1.06551	0.410675	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.32112	0
19.2128	7.9553	4.8565	1.08191	0.405322	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.26208	1
19.2924	8.17157	4.83654	1.11219	0.415783	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.4527	0
19.391	8.38262	4.83897	1.13001	0.409241	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.27137	1
19.4842	8.5341	4.74592	1.13658	0.395596	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	3.85395	0
19.5755	8.74273	4.72124	1.15898	0.401046	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.569674	1
19.7339	8.92037	4.7061	1.1487	0.37014	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	4.12738	0
19.8084	9.14105	4.68001	1.17953	0.388103	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.00097	1
19.9374	9.36723	4.71415	1.18705	0.375813	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	2.9776	0
19.9852	9.58685	4.65864	1.22698	0.406854	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.75932	1
20.0727	9.82644	4.69077	1.24754	0.40693	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.734138	0
20.1334	10.0742	4.73078	1.27403	0.40997	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	7.13704	1
20.1827	10.3452	4.78475	1.30902	0.424342	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.945878	0
20.2015	10.5779	4.74326	1.35231	0.455583	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	3.17434	1
20.2601	10.8515	4.80555	1.3788	0.458877	20.371	11.0109	20.1663	10.864	0.722256	4.7934	2.01979	0
20.2894	11.1064	4.83165	1.40854	0.464249	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.9137	1
20.3235	11.3465	4.83308	1.43267	0.46515	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.00315114	0
20.2748	11.5902	4.77187	1.5014	0.52992	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	11.5551	1
20.3447	11.8341	4.79147	1.50831	0.510221	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.45134	0
20.368	12.0688	4.81217	1.51919	0.484075	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	3.36426	1
20.3552	12.3562	4.87933	1.55643	0.496194	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.23675	0
20.3083	12.5924	4.83392	1.61043	0.540415	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	3.74871	1
20.3322	12.8343	4.83624	1.6242	0.52734	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.64562	0
20.3194	13.0647	4.81384	1.65154	0.532086	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.13511	1
20.2845	13.2799	4.77787	1.68107	0.535411	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.07894	0
20.2456	13.5136	4.77709	1.70946	0.53503	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.28058	1
20.2241	13.7738	4.81186	1.73181	0.530291	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.23583	0
20.1689	14.0003	4.78985	1.76784	0.545859	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.988502	1
20.1132	14.2568	4.82484	1.79752	0.547739	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.367571	0
20.0413	14.4848	4.81894	1.83016	0.553098	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.43626	1
19.933	14.7404	4.8668	1.87308	0.567318	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.40113	0
19.8655	14.9578	4.84986	1.8933	0.552867	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.30405	1
19.8328	15.177	4.81842	1.90465	0.537537	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.99083	0
19.7033	15.3872	4.78566	1.97262	0.607591	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	8.45301	1
19.6727	15.5775	4.71417	1.98152	0.587796	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	3.33014	0
19.5784	15.782	4.69869	2.00976	0.585925	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.30707	1
19.4744	15.9966	4.70442	2.03915	0.58594	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.00987321	0
19.372	16.2039	4.70442	2.05877	0.567169	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.70517	1
19.262	16.3823	4.663	2.08867	0.569236	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.700237	0
19.1442	16.5787	4.65564	2.11885	0.572752	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.281551	1
19.0131	16.7894	4.67989	2.14815	0.573052	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.146393	0
18.8573	16.9825	4.69029	2.2023	0.619322	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.84687	1
18.6835	17.2186	4.78134	2.23685	0.621455	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	1.87202	0
18.5786	17.4207	4.76793	2.2303	0.558743	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	5.84136	1
18.3643	17.6129	4.82901	2.27739	0.576058	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.96105	0
18.2277	17.8029	4.8207	2.28505	0.539306	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.54537	1
18.094	17.9883	4.80471	2.30326	0.53125	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.890363	0
17.9193	18.1444	4.7897	2.34322	0.552405	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	1.84384	1
17.7868	18.2867	4.72171	2.36561	0.548413	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	1.06577	0
17.6534	18.4671	4.70594	2.37432	0.524418	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.76215	1
17.4575	18.6482	4.75432	2.40299	0.526078	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.503758	0
17.2776	18.7902	4.73857	2.43579	0.535891	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.68461	1
17.1154	18.9263	4.7004	2.46075	0.534646	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.316371	0
16.9481	19.0963	4.70796	2.47356	0.516092	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	3.14965	1
16.7307	19.212	4.71073	2.51345	0.529352	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.64915	0
16.5408	19.3656	4.72829	2.53623	0.527344	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	3.23819	1
16.315	19.5265	4.79293	2.56227	0.526175	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.881411	0
16.0929	19.6111	4.77436	2.60942	0.553018	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	9.9902	1
15.8871	19.7549	4.79839	2.63006	0.546077	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.786474	0
15.6985	19.8781	4.76838	2.63882	0.513165	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	3.35029	1
15.4668	20.0305	4.83291	2.65769	0.505829	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	1.39785	0
15.2555	20.1723	4.85429	2.66949	0.487761	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	5.812	1
15.0661	20.3027	4.8393	2.68228	0.477061	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	1.94153	0
14.8364	20.3867	4.8387	2.7167	0.490471	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.01816	1
14.6202	20.5052	4.85005	2.73405	0.483596	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.68209	0
14.3837	20.5938	4.86896	2.76696	0.498758	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	1.20568	1
14.1373	20.6683	4.88478	2.79834	0.504605	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.690212	0
13.9001	20.7408	4.89456	2.83124	0.518202	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.368203	1
13.6263	20.8055	4.94383	2.86486	0.524773	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	1.69527	0
13.3771	20.8386	4.95452	2.91331	0.561102	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.56919	1
13.1319	20.8809	4.95235	2.94501	0.564559	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.172187	0
12.8987	20.9391	4.94591	2.96782	0.559457	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	1.74415	1
12.7001	20.9831	4.88413	2.98988	0.555003	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	1.94842	0
12.4461	21.024	4.91001	3.01829	0.558003	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.5853	1
12.2003	21.0617	4.91836	3.04274	0.554571	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.127886	0
11.9603	21.0819	4.91805	3.07358	0.562128	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	1.01653	1
11.7184	21.054	4.89498	3.11539	0.575621	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	1.98701	0
11.4696	21.0411	4.89795	3.15101	0.58385	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.1349	1
11.2551	21.0347	4.85308	3.1794	0.584042	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.71266	0
10.999	20.997	4.86962	3.21885	0.595291	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	4.21956	1
10.7901	20.9593	4.81572	3.2537	0.60139	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.663264	0
10.5431	20.9556	4.8032	3.26503	0.569952	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	5.35389	1
10.2637	20.981	4.87583	3.27219	0.547588	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.28618	0
10.0255	20.9619	4.86984	3.29271	0.539241	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	1.01518	1
